number of digits,total operations
1,45
2,132
3,249
4,418
5,619
6,878
7,1183
8,1504
9,1835
10,2252
11,2669
12,3088
13,3669
14,4260
15,4863
16,5516
17,6169
18,7054
19,7757
20,8482
21,9363
22,10222
23,11025
24,12062
25,13067
26,14232
27,15203
28,16674
29,17485
30,18916
31,19923
32,21200
33,22719
34,23948
35,25465
36,26854
37,28541
38,29918
39,31423
40,33242
41,34927
42,36414
43,38511
44,40520
45,41945
46,43444
47,45695
48,47326
49,49449
50,51860
51,53227
52,55566
53,58441
54,60282
55,62151
56,64692
57,67115
58,68674
59,71631
60,74030
61,75943
62,79042
63,81659
64,83770
65,86681
66,89502
67,91515
68,94526
69,97271
70,100226
71,103579
72,105576
73,109465
74,113266
75,115435
76,118120
77,121609
78,123848
79,126985
80,131550
81,133069
82,138542
83,141139
84,144546
85,146519
86,152506
87,154375
88,158654
89,160697
90,166598
91,168877
92,173368
93,177907
94,180384
95,185419
96,187582
97,192191
98,195542
99,197917
100,204404
101,208337
102,211676
103,216073
104,219728
105,224945
